Pertussis, Afghanistan, 0
Neonatal tetanus, Albania, 0
Neonatal tetanus, Andorra, 0
Neonatal tetanus, Angola, 66
Pertussis, Antigua and Barbuda, 0
Congenital Rubella Syndrome, Antigua and Barbuda, 0
Neonatal tetanus, Antigua and Barbuda, 0
Congenital Rubella Syndrome, Argentina, 0
Neonatal tetanus, Australia, 0
Measles, Austria, 49
Tetanus, Austria, 0
Rubella, Bahamas, 0
Pertussis, Bahrain, 1
Mumps, Barbados, 0
Diphtheria, Belarus, 3
Japanese encephalitis, Belarus, 0
Measles, Belarus, 0
Diphtheria, Belgium, 0
Measles, Belgium, 33
Diphtheria, Bhutan, 0
Japanese encephalitis, Bhutan, 0
Diphtheria, Bolivia, 0
Measles, Bolivia, 0
Mumps, Bolivia, 3696
Tetanus, Bolivia, 9
Yellow fever, Bolivia, 0
Mumps, Bosnia and Herzegovina, 474
Measles, Botswana, 184
Measles, Brazil, 0
Diphtheria, Brunei Darussalam, 0
Mumps, Brunei Darussalam, 1
Yellow fever, Brunei Darussalam, 0
Japanese encephalitis, Bulgaria, 0
Meningitis, Burkina Faso, 6510
Yellow fever, Burundi, 0
Rubella, Cambodia, 528
Measles, Canada, 15
Neonatal tetanus, Canada, 0
Diphtheria, Cabo Verde, 0
Neonatal tetanus, Cabo Verde, 0
Tetanus, Cabo Verde, 0
Rubella, Central African Republic, 32
Tetanus, Chad, 146
Tetanus, Chile, 10
Measles, China, 52461
Mumps, Colombia, 9457
Pertussis, Colombia, 407
Measles, Comoros, 1
Mumps, Comoros, 109
Pertussis, Comoros, 0
Japanese encephalitis, Congo, 0
Diphtheria, Costa Rica, 0
Yellow fever, Costa Rica, 0
Neonatal tetanus, Cuba, 0
Neonatal tetanus, Cyprus, 0
Tetanus, Cyprus, 0
Tetanus, Cote d'Ivoire, 8
Pertussis, South Korea, 8
Rubella, Democratic Republic of the Congo, 110
Pertussis, Denmark, 83
Neonatal tetanus, Denmark, 0
Neonatal tetanus, Dominican Republic, 1
Tetanus, Dominican Republic, 59
Pertussis, Ecuador, 41
Pertussis, Egypt, 0
Neonatal tetanus, El Salvador, 0
Diphtheria, Eritrea, 4
Measles, Eritrea, 82
Measles, Ethiopia, 1176
Japanese encephalitis, Fiji, 0
Yellow fever, Fiji, 0
Measles, France, 1541
Rubella, Gabon, 40
Tetanus, Gabon, 5
Yellow fever, Gabon, 0
Rubella, Gambia, 0
Mumps, Georgia, 42
Pertussis, Georgia, 130
Rubella, Georgia, 67
Measles, Ghana, 101
Measles, Greece, 2
Diphtheria, Grenada, 0
Diphtheria, Guatemala, 0
Measles, Guatemala, 0
Yellow fever, Guatemala, 0
Mumps, Guinea, 0
Rubella, Guinea, 7
Diphtheria, Guyana, 0
Yellow fever, Guyana, 0
Diphtheria, Haiti, 37
Neonatal tetanus, Honduras, 1
Yellow fever, Honduras, 0
Congenital Rubella Syndrome, Hungary, 0
Rubella, Hungary, 0
Neonatal tetanus, Hungary, 0
Pertussis, Indonesia, 973
Rubella, Indonesia, 2090
Pertussis, Iraq, 5471
Neonatal tetanus, Iraq, 17
Pertussis, Ireland, 80
Congenital Rubella Syndrome, Ireland, 0
Rubella, Israel, 6
Congenital Rubella Syndrome, Italy, 6
Diphtheria, Jamaica, 0
Mumps, Jamaica, 0
Japanese encephalitis, Japan, 3
Diphtheria, Jordan, 0
Measles, Jordan, 0
Neonatal tetanus, Jordan, 0
Tetanus, Jordan, 0
Yellow fever, Jordan, 0
Congenital Rubella Syndrome, Kazakhstan, 1
Tetanus, Kazakhstan, 3
Diphtheria, Kiribati, 0
Neonatal tetanus, Kiribati, 0
Tetanus, Kyrgyzstan, 0
Neonatal tetanus, Laos, 8
Neonatal tetanus, Latvia, 0
Yellow fever, Latvia, 0
Congenital Rubella Syndrome, Lebanon, 0
Tetanus, Lebanon, 3
Rubella, Lesotho, 0
Measles, Liberia, 6
Mumps, Liberia, 0
Pertussis, Liberia, 0
Congenital Rubella Syndrome, Liberia, 0
Yellow fever, Lithuania, 0
Diphtheria, Luxembourg, 0
Neonatal tetanus, Luxembourg, 0
Yellow fever, Luxembourg, 0
Japanese encephalitis, Madagascar, 0
Japanese encephalitis, Maldives, 0
Measles, Maldives, 6
Diphtheria, Malta, 0
Neonatal tetanus, Malta, 0
Tetanus, Marshall Islands, 0
Yellow fever, Marshall Islands, 0
Diphtheria, Mauritius, 5
Measles, Mauritius, 15
Japanese encephalitis, Micronesia, 0
Pertussis, Mongolia, 0
Neonatal tetanus, Mongolia, 0
Tetanus, Morocco, 41
Measles, Myanmar, 217
Rubella, Myanmar, 13
Neonatal tetanus, Namibia, 7
Tetanus, Namibia, 7
Neonatal tetanus, Nauru, 0
Mumps, Nepal, 27880
Pertussis, Nepal, 2357
Diphtheria, Netherlands, 0
Measles, Netherlands, 15
Mumps, New Zealand, 21
Diphtheria, Niger, 0
Measles, Niger, 801
Meningitis, Niger, 2866
Yellow fever, Niger, 0
Meningitis, Nigeria, 4960
Diphtheria, Niue, 0
Measles, Niue, 0
Neonatal tetanus, Niue, 0
Diphtheria, Norway, 0
Congenital Rubella Syndrome, Oman, 0
Neonatal tetanus, Oman, 0
Neonatal tetanus, Pakistan, 781
Diphtheria, Palau, 0
Rubella, Palau, 0
Neonatal tetanus, Palau, 0
Tetanus, Palau, 0
Pertussis, Papua New Guinea, 2932
Congenital Rubella Syndrome, Paraguay, 0
Neonatal tetanus, Paraguay, 1
Plague, Peru, 27
Rubella, Peru, 0
Measles, Philippines, 1469
Congenital Rubella Syndrome, Poland, 1
Diphtheria, Portugal, 0
Japanese encephalitis, Republic of Korea, 3
Diphtheria, Republic of Moldova, 1
Japanese encephalitis, Republic of Moldova, 0
Diphtheria, Romania, 0
Japanese encephalitis, Romania, 0
Neonatal tetanus, Romania, 0
Tetanus, Romania, 9
Congenital Rubella Syndrome, Russian Federation, 1
Measles, Saint Lucia, 0
Mumps, Saint Lucia, 0
Rubella, Samoa, 0
Rubella, Sao Tome and Principe, 0
Japanese encephalitis, Saudi Arabia, 0
Pertussis, Saudi Arabia, 1
Diphtheria, Senegal, 0
Measles, Serbia, 1
Mumps, Serbia, 262
Measles, Seychelles, 0
Yellow fever, Seychelles, 0
Diphtheria, Singapore, 0
Measles, Singapore, 16
Mumps, Singapore, 631
Pertussis, Singapore, 13
Japanese encephalitis, Slovakia, 0
Neonatal tetanus, Slovenia, 0
Rubella, Solomon Islands, 0
Tetanus, Somalia, 53
Tetanus, South Africa, 1
Congenital Rubella Syndrome, Spain, 2
Mumps, Sri Lanka, 660
Congenital Rubella Syndrome, Sri Lanka, 3
Rubella, Sri Lanka, 143
Measles, Sudan, 68
Rubella, Sudan, 338
Congenital Rubella Syndrome, Suriname, 0
Japanese encephalitis, Swaziland, 0
Congenital Rubella Syndrome, Swaziland, 0
Measles, Sweden, 3
Tetanus, Syria, 5
Yellow fever, Syria, 0
Tetanus, Tajikistan, 0
Neonatal tetanus, Thailand, 1
Yellow fever, Thailand, 0
Tetanus, Macedonia, 0
Yellow fever, Macedonia, 0
Pertussis, Timor-Leste, 0
Pertussis, Togo, 72
Neonatal tetanus, Togo, 17
Congenital Rubella Syndrome, Tonga, 0
Measles, Trinidad and Tobago, 0
Pertussis, Trinidad and Tobago, 0
Congenital Rubella Syndrome, Trinidad and Tobago, 0
Pertussis, Tunisia, 8
Congenital Rubella Syndrome, Tunisia, 2
Mumps, Turkey, 2180
Rubella, Turkey, 97
Measles, Turkmenistan, 0
Pertussis, Turkmenistan, 0
Mumps, Tuvalu, 0
Congenital Rubella Syndrome, Tuvalu, 0
Congenital Rubella Syndrome, United Kingdom, 0
Rubella, United Kingdom, 22
Neonatal tetanus, United Kingdom, 0
Pertussis, United Republic of Tanzania, 0
Mumps, United States of America, 1991
Pertussis, United States of America, 0
Diphtheria, Uruguay, 0
Measles, Uruguay, 0
Yellow fever, Uruguay, 0
Neonatal tetanus, Uzbekistan, 0
Yellow fever, Uzbekistan, 0
Pertussis, Venezuela, 0
Measles, Yemen, 130
Neonatal tetanus, Zambia, 0
Congenital Rubella Syndrome, Zimbabwe, 0
Meningitis, Benin, 416
Meningitis, Ghana, 302
Meningitis, Chad, 5863
Meningitis, Democratic Republic of the Congo, 5176
Diphtheria, Afghanistan, 0
Measles, Albania, 10
Diphtheria, Andorra, 0
Measles, Andorra, 0
Measles, Armenia, 2
Diphtheria, Antigua and Barbuda, 0
Measles, Antigua and Barbuda, 0
Diphtheria, Australia, 0
Measles, Austria, 52
Measles, Azerbaijan, 0
Measles, Belgium, 40
Measles, Benin, 392
Measles, Bulgaria, 22004
Diphtheria, Brazil, 32
Measles, Brazil, 68
Diphtheria, Botswana, 0
Measles, Botswana, 853
Diphtheria, Central African Republic, 0
Diphtheria, Chile, 0
Measles, Democratic Republic of the Congo, 5407
Diphtheria, Congo, 0
Measles, Congo, 4
Measles, Colombia, 0
Measles, Cuba, 0
Measles, Germany, 780
Diphtheria, Algeria, 0
Measles, Finland, 5
Measles, Gabon, 1
Measles, United Kingdom, 443
Japanese encephalitis, Guinea, 0
Measles, Guinea-Bissau, 26
Diphtheria, Greece, 0
Measles, Guatemala, 0
Diphtheria, Guyana, 0
Japanese encephalitis, India, 5171
Measles, India, 29808
Diphtheria, Ireland, 0
Measles, Iraq, 492
Measles, Italy, 372
Measles, Jamaica, 0
Japanese encephalitis, Kazakhstan, 0
Measles, Kazakhstan, 4
Diphtheria, Kiribati, 0
Japanese encephalitis, Republic of Korea, 26
Japanese encephalitis, Kuwait, 0
Measles, Lebanon, 12
Measles, Sri Lanka, 79
Diphtheria, Madagascar, 0
Japanese encephalitis, Madagascar, 0
Diphtheria, Maldives, 0
Japanese encephalitis, Marshall Islands, 0
Measles, Macedonia, 217
Measles, Montenegro, 5
Diphtheria, Mauritius, 0
Japanese encephalitis, Mauritius, 0
Measles, Malaysia, 73
Diphtheria, Nepal, 146
Japanese encephalitis, Oman, 0
Diphtheria, Pakistan, 37
Japanese encephalitis, Philippines, 181
Japanese encephalitis, Romania, 0
Measles, Romania, 193
Japanese encephalitis, Saudi Arabia, 0
Measles, Sudan, 680
Diphtheria, Solomon Islands, 0
Measles, Sierra Leone, 1089
Measles, San Marino, 0
Measles, Somalia, 115
Diphtheria, Serbia, 0
Japanese encephalitis, Thailand, 36
Diphtheria, Timor-Leste, 0
Diphtheria, Turkey, 0
